codigo_interno,nombre_generico
100,Cal Hidratada x 25 Kg.
101,Cemento Albañilería x 25 Kg.
102,"Bolsón De Arena Gruesa Especial 1,10 Tn."
103,"Cerámico Brick Biselado Blanco 7,5 x 15"
104,"Guardacanto Marfil Stone 10mm x 10mm x 2.5m"
105,Pegamento Porcelanato x 25 Kg
106,Ladrillo Hueco 12x18x33
107,Ladrillo Portante 12x19x33
108,Ladrillo Tabique 8x18x33
109,Grifería Monocomando Mesada
110,Pegamento Impermeable x 25 Kg
111,Aditivo Acelerante Frague Sin Cloruro 6 Kg
112,Aditivo Hidrófugo x 20 Lts
113,Pegamento Porcelanato Flex x 25 Kg
114,Zócalo EPS Blanco Mate
115,Hierro Torsionado 10 mm x 12 m
116,Hierro Torsionado 25 mm x 12 m
117,Hierro Torsionado 6 mm x 12 m
118,Ladrillo Portante 12x19x33
119,Ladrillo HCCA 10 cm (Retak)
120,Pastina Clásica x 2 Kg.
121,Pegamento Impermeable x 25 Kg.
